ticker,return,buy and hold return,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,Num Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,plot_path
sz-002028,1.29,26.855832616795634,-2.0123839009287936,-0.9209380420101304,137.0,37.75,2.0,50.0,6.110793832095918,-1.8821966341895369,2.0360622731377287,18.0,13.0,./results/plots/./data/raw/outsample\history_stock_sz-002028.csv.html
sh-600256,-0.03,-3.2835820895522394,-0.4580304689833725,-0.3113630998003236,54.0,20.0,1.0,0.0,-0.31880977683315104,-0.31880977683315104,-0.31880977683315104,59.0,59.0,./results/plots/./data/raw/outsample\history_stock_sh-600256.csv.html
sh-600535,-0.06999999999999999,-2.868068833652014,-0.489119584747455,-0.3793037787995168,62.0,62.0,3.0,66.66666666666666,1.0546500479386323,-1.8322082931533257,-0.23495340185355484,41.0,25.333333333333332,./results/plots/./data/raw/outsample\history_stock_sh-600535.csv.html
sh-600466,0.0,-5.0955414012738895,-0.2499500099980012,-0.08497750749700272,95.0,31.25,1.0,0.0,0.0,0.0,0.0,114.0,114.0,./results/plots/./data/raw/outsample\history_stock_sh-600466.csv.html
sh-601778,0.16999999999999998,5.839416058394149,-0.2294264339152141,-0.08734311657394578,92.0,24.75,2.0,100.0,1.559792027729645,1.3986013986013957,1.4791647085480086,27.0,23.0,./results/plots/./data/raw/outsample\history_stock_sh-601778.csv.html
sh-600132,0.0,-13.93557422969188,-0.0,,,,0.0,,,,,,,./results/plots/./data/raw/outsample\history_stock_sh-600132.csv.html
sz-000519,0.74,5.054382597568783,-1.5731671119026402,-0.5114219551335746,56.0,13.285714285714286,1.0,100.0,2.4642024642024696,2.4642024642024696,2.4642024642024696,46.0,46.0,./results/plots/./data/raw/outsample\history_stock_sz-000519.csv.html
sz-002583,0.13999999999999999,10.855949895615858,-0.1098462152985813,-0.03994708251600643,97.0,17.0,3.0,66.66666666666666,1.9120458891013214,-0.6237006237006071,0.9240154679759804,22.0,16.333333333333332,./results/plots/./data/raw/outsample\history_stock_sz-002583.csv.html
sz-002340,0.72,7.726269315673282,-0.6608146760035516,-0.20068233932061114,39.0,10.625,1.0,100.0,8.266360505166471,8.266360505166471,8.266360505166471,65.0,65.0,./results/plots/./data/raw/outsample\history_stock_sz-002340.csv.html
sh-603605,0.0,9.819314641744542,-0.0,,,,0.0,,,,,,,./results/plots/./data/raw/outsample\history_stock_sh-603605.csv.html
sz-002507,0.35000000000000003,-13.04347826086957,-0.8678304239401524,-0.7606155386704005,62.0,50.0,1.0,100.0,1.1616329239960255,1.1616329239960255,1.1616329239960255,52.0,52.0,./results/plots/./data/raw/outsample\history_stock_sz-002507.csv.html
sz-002217,0.16,-5.466237942122184,-0.06996501749125805,-0.03441237266616308,55.0,16.333333333333332,4.0,75.0,4.676258992805771,-0.9615384615384692,1.4191176243500525,34.0,20.25,./results/plots/./data/raw/outsample\history_stock_sz-002217.csv.html
sh-601598,-0.06999999999999999,-2.8350515463917496,-0.309969003099686,-0.1649845015498419,144.0,73.5,1.0,0.0,-1.8087855297157729,-1.8087855297157729,-1.8087855297157729,115.0,115.0,./results/plots/./data/raw/outsample\history_stock_sh-601598.csv.html
sh-603858,-0.24,-3.6641221374045747,-1.0022824253249962,-0.571057313341683,117.0,61.0,3.0,66.66666666666666,0.9713701431492971,-2.413970210580374,-0.42207108319127773,36.0,28.0,./results/plots/./data/raw/outsample\history_stock_sh-603858.csv.html
sh-603260,0.0,-18.679589131875414,-0.0,,,,0.0,,,,,,,./results/plots/./data/raw/outsample\history_stock_sh-603260.csv.html
sh-600967,0.13,-2.2508038585209094,-0.36996300369962487,-0.09495323093793492,83.0,23.5,1.0,100.0,1.4428412874583962,1.4428412874583962,1.4428412874583962,99.0,99.0,./results/plots/./data/raw/outsample\history_stock_sh-600967.csv.html
sh-601456,-1.29,-10.878661087866101,-1.3689048760991196,-1.3689048760991196,152.0,152.0,1.0,0.0,-10.741049125728551,-10.741049125728551,-10.741049125728551,152.0,152.0,./results/plots/./data/raw/outsample\history_stock_sh-601456.csv.html
sh-603444,0.0,-8.752088420511505,-0.0,,,,0.0,,,,,,,./results/plots/./data/raw/outsample\history_stock_sh-603444.csv.html
sh-600435,0.24,2.872928176795577,-0.308304326205866,-0.17144474562192258,60.0,26.6,2.0,50.0,3.9106145251396773,-1.199563794983638,1.323314402042275,42.0,26.5,./results/plots/./data/raw/outsample\history_stock_sh-600435.csv.html
sz-002244,0.13999999999999999,10.057803468208084,-0.7948335817188235,-0.3982366549769578,102.0,41.666666666666664,3.0,66.66666666666666,1.8058690744920947,-1.1891891891891881,0.5201915376358279,30.0,20.666666666666668,./results/plots/./data/raw/outsample\history_stock_sz-002244.csv.html
sh-601699,0.6,-3.1645569620253235,-0.6164860296311026,-0.31936806082446534,57.0,14.142857142857142,2.0,100.0,2.5974025974025983,1.7686072218128235,2.182164622370686,44.0,37.0,./results/plots/./data/raw/outsample\history_stock_sh-601699.csv.html
sz-000537,2.37,-4.411764705882351,-1.5389054534961977,-0.7134768387721553,48.0,14.333333333333334,1.0,100.0,19.700748129675816,19.700748129675816,19.700748129675816,59.0,59.0,./results/plots/./data/raw/outsample\history_stock_sz-000537.csv.html
sz-002839,0.18,2.857142857142864,-0.15969657650464208,-0.04493521357848085,52.0,15.3,3.0,66.66666666666666,1.8656716417910335,0.0,1.1256024615629245,29.0,24.0,./results/plots/./data/raw/outsample\history_stock_sz-002839.csv.html
sh-600195,-0.69,-10.372129849564532,-0.9277733439744584,-0.48888667198722646,152.0,78.0,2.0,0.0,-1.5503875968992276,-4.135021097046421,-2.8512994630025323,80.0,49.5,./results/plots/./data/raw/outsample\history_stock_sh-600195.csv.html
sh-603885,-1.21,-13.639001741149157,-1.8595863166268933,-0.8317674174326439,92.0,31.75,2.0,50.0,0.9168704156479413,-8.369230769230763,-3.8382068358348453,52.0,48.0,./results/plots/./data/raw/outsample\history_stock_sh-603885.csv.html
sh-603355,7.82,24.35691318327975,-2.9637344948394984,-0.6718829457561151,100.0,17.375,2.0,100.0,15.846338535414173,14.139194139194133,14.989598331364062,59.0,54.5,./results/plots/./data/raw/outsample\history_stock_sh-603355.csv.html
sz-002074,-6.98,-13.19706731837369,-7.10431654676259,-3.6971582733812958,152.0,77.5,3.0,0.0,-3.318965517241379,-6.479943033467849,-5.190931895950723,38.0,24.0,./results/plots/./data/raw/outsample\history_stock_sz-002074.csv.html
sz-002635,2.58,7.323076923076931,-1.1964107676969093,-0.4056441886765527,108.0,26.0,2.0,50.0,18.44399731723676,-1.1111111111111072,8.225668352106187,84.0,52.5,./results/plots/./data/raw/outsample\history_stock_sz-002635.csv.html
sz-300001,0.16999999999999998,10.523255813953503,-0.417661097852029,-0.37353408256546317,7.0,6.5,1.0,100.0,0.8985200845665897,0.8985200845665897,0.8985200845665897,14.0,14.0,./results/plots/./data/raw/outsample\history_stock_sz-300001.csv.html
sh-600667,0.2,-3.337783711615487,-0.37939297124600646,-0.19626892102527402,94.0,47.666666666666664,2.0,100.0,1.3947001394700065,1.388888888888884,1.3917944725456044,97.0,59.0,./results/plots/./data/raw/outsample\history_stock_sh-600667.csv.html
sz-000883,0.1,-4.046242774566473,-0.2693804250224474,-0.2693804250224474,73.0,73.0,2.0,100.0,1.6227180527383478,0.38022813688214363,0.9995624843193385,29.0,21.0,./results/plots/./data/raw/outsample\history_stock_sz-000883.csv.html
sz-002242,-0.13,-4.8727666486193755,-1.3620998210379764,-0.5336267159064434,106.0,37.666666666666664,2.0,50.0,0.11293054771315258,-0.8077544426494221,-0.3484752231319499,48.0,33.5,./results/plots/./data/raw/outsample\history_stock_sz-002242.csv.html
sh-600968,0.05,-0.7782101167315182,-0.060000000000004494,-0.03198381328895161,56.0,15.6,1.0,100.0,2.0491803278688714,2.0491803278688714,2.0491803278688714,50.0,50.0,./results/plots/./data/raw/outsample\history_stock_sh-600968.csv.html
sh-600580,0.62,4.697508896797154,-1.0766623467251546,-0.30379804090001816,66.0,25.333333333333332,4.0,50.0,3.7947997189037075,-1.8646408839778972,1.0664740622578828,32.0,19.75,./results/plots/./data/raw/outsample\history_stock_sh-600580.csv.html
sz-002195,0.05,-1.345291479820619,-0.11995201919232645,-0.03283744256009001,54.0,16.571428571428573,1.0,100.0,2.314814814814814,2.314814814814814,2.314814814814814,84.0,84.0,./results/plots/./data/raw/outsample\history_stock_sz-002195.csv.html
sz-002080,2.8400000000000003,5.405405405405407,-2.246763137852248,-0.8136899871603946,57.0,20.714285714285715,3.0,100.0,9.739776951672873,0.21849963583393528,3.411231968514472,52.0,31.666666666666668,./results/plots/./data/raw/outsample\history_stock_sz-002080.csv.html
sh-601139,0.08,3.323699421965324,-0.2997601918465209,-0.1431861828019983,101.0,51.666666666666664,3.0,33.33333333333333,2.470930232558133,-0.868306801736618,0.37903578977818153,46.0,29.0,./results/plots/./data/raw/outsample\history_stock_sh-601139.csv.html
